gre_score,toefl_score,university_rating,sop,lor,cgpa,research,chance_of_admit,program,application_completion,gender,admitted
337,118,4,4.5,4.5,9.65,1,0.92,Computer Science,Complete,Male,1
324,107,4,4.0,4.5,8.87,1,0.76,Artificial Intelligence,Complete,Female,1
316,104,3,3.0,3.5,8.0,1,0.72,Computer Engineering,Incomplete,Female,0
322,110,3,3.5,2.5,8.67,1,0.8,Software Engineering,Incomplete,Female,1
314,103,2,2.0,3.0,8.21,0,0.65,Information Technology,Incomplete,Male,0
330,115,5,4.5,3.0,9.34,1,0.9,Computer Science,Incomplete,Male,1
321,109,3,3.0,4.0,8.2,1,0.75,Information Technology,Incomplete,Male,1
308,101,2,3.0,4.0,7.9,0,0.68,Computer Engineering,Incomplete,Female,0
302,102,1,2.0,1.5,8.0,0,0.5,Computer Engineering,Incomplete,Female,0
323,108,3,3.5,3.0,8.6,0,0.45,Software Engineering,Incomplete,Female,0
325,106,3,3.5,4.0,8.4,1,0.52,Information Technology,Complete,Male,0
327,111,4,4.0,4.5,9.0,1,0.84,Data Science,Complete,Female,1
328,112,4,4.0,4.5,9.1,1,0.78,Data Science,Complete,Female,1
307,109,3,4.0,3.0,8.0,1,0.62,Computer Engineering,Incomplete,Male,0
311,104,3,3.5,2.0,8.2,1,0.61,Information Technology,Incomplete,Male,0
314,105,3,3.5,2.5,8.3,0,0.54,Information Technology,Incomplete,Male,0
317,107,3,4.0,3.0,8.7,0,0.66,Software Engineering,Incomplete,Male,0
319,106,3,4.0,3.0,8.0,1,0.65,Computer Engineering,Incomplete,Female,0
318,110,3,4.0,3.0,8.8,0,0.63,Software Engineering,Incomplete,Male,0
303,102,3,3.5,3.0,8.5,0,0.62,Computer Engineering,Incomplete,Male,0
312,107,3,3.0,2.0,7.9,1,0.64,Computer Engineering,Incomplete,Female,0
325,114,4,3.0,2.0,8.4,0,0.7,Information Technology,Incomplete,Male,0
328,116,5,5.0,5.0,9.5,1,0.94,Data Science,Complete,Male,1
334,119,5,5.0,4.5,9.7,1,0.95,Computer Science,Complete,Male,1
336,119,5,4.0,3.5,9.8,1,0.97,Computer Science,Complete,Male,1
340,120,5,4.5,4.5,9.6,1,0.94,Computer Science,Complete,Female,1
322,109,5,4.5,3.5,8.8,0,0.76,Artificial Intelligence,Incomplete,Male,1
298,98,2,1.5,2.5,7.5,1,0.44,Computer Engineering,Incomplete,Female,0
295,93,1,2.0,2.0,7.2,0,0.46,Computer Engineering,Incomplete,Female,0
310,99,2,1.5,2.0,7.3,0,0.54,Computer Engineering,Incomplete,Male,0
300,97,2,3.0,3.0,8.1,1,0.65,Computer Engineering,Incomplete,Female,0
327,103,3,4.0,4.0,8.3,1,0.74,Information Technology,Complete,Male,1
338,118,4,3.0,4.5,9.4,1,0.91,Computer Science,Incomplete,Male,1
340,114,5,4.0,4.0,9.6,1,0.9,Computer Science,Complete,Female,1
331,112,5,4.0,5.0,9.8,1,0.94,Computer Science,Complete,Female,1
320,110,5,5.0,5.0,9.2,1,0.88,Artificial Intelligence,Complete,Female,1
299,106,2,4.0,4.0,8.4,0,0.64,Computer Engineering,Incomplete,Male,0
300,105,1,1.0,2.0,7.8,0,0.58,Computer Engineering,Incomplete,Male,0
304,105,1,3.0,1.5,7.5,0,0.52,Computer Engineering,Incomplete,Female,0
307,108,2,4.0,3.5,7.7,0,0.48,Computer Engineering,Incomplete,Male,0
308,110,3,3.5,3.0,8.0,1,0.46,Computer Engineering,Incomplete,Male,0
316,105,2,2.5,2.5,8.2,1,0.49,Information Technology,Incomplete,Male,0
313,107,2,2.5,2.0,8.5,1,0.53,Information Technology,Incomplete,Male,0
332,117,4,4.5,4.0,9.1,0,0.87,Data Science,Incomplete,Female,1
326,113,5,4.5,4.0,9.4,1,0.91,Data Science,Complete,Male,1
322,110,5,5.0,4.0,9.1,1,0.88,Artificial Intelligence,Complete,Female,1
329,114,5,4.0,5.0,9.3,1,0.86,Data Science,Complete,Male,1
339,119,5,4.5,4.0,9.7,0,0.89,Computer Science,Incomplete,Female,1
321,110,3,3.5,5.0,8.85,1,0.82,Artificial Intelligence,Complete,Female,1
327,111,4,3.0,4.0,8.4,1,0.78,Information Technology,Incomplete,Male,1
313,98,3,2.5,4.5,8.3,1,0.76,Information Technology,Incomplete,Female,1
312,100,2,1.5,3.5,7.9,1,0.56,Computer Engineering,Incomplete,Female,0
334,116,4,4.0,3.0,8.0,1,0.78,Computer Engineering,Incomplete,Female,1
324,112,4,4.0,2.5,8.1,1,0.72,Computer Engineering,Incomplete,Female,0
322,110,3,3.0,3.5,8.0,0,0.7,Computer Engineering,Incomplete,Female,0
320,103,3,3.0,3.0,7.7,0,0.64,Computer Engineering,Incomplete,Female,0
316,102,3,2.0,3.0,7.4,0,0.64,Computer Engineering,Incomplete,Male,0
298,99,2,4.0,2.0,7.6,0,0.46,Computer Engineering,Incomplete,Male,0
300,99,1,3.0,2.0,6.8,1,0.36,Computer Engineering,Incomplete,Male,0
311,104,2,2.0,2.0,8.3,0,0.42,Information Technology,Incomplete,Male,0
309,100,2,3.0,3.0,8.1,0,0.48,Computer Engineering,Incomplete,Male,0
307,101,3,4.0,3.0,8.2,0,0.47,Computer Engineering,Incomplete,Male,0
304,105,2,3.0,3.0,8.2,1,0.54,Computer Engineering,Incomplete,Female,0
315,107,2,4.0,3.0,8.5,1,0.56,Software Engineering,Incomplete,Male,0
325,111,3,3.0,3.5,8.7,0,0.52,Software Engineering,Incomplete,Male,0
325,112,4,3.5,3.5,8.92,0,0.55,Artificial Intelligence,Incomplete,Female,0
327,114,3,3.0,3.0,9.02,0,0.61,Data Science,Incomplete,Male,0
316,107,2,3.5,3.5,8.64,1,0.57,Software Engineering,Complete,Female,0
318,109,3,3.5,4.0,9.22,1,0.68,Software Engineering,Complete,Male,0
328,115,4,4.5,4.0,9.16,1,0.78,Data Science,Complete,Female,1
332,118,5,5.0,5.0,9.64,1,0.94,Computer Science,Complete,Female,1
336,112,5,5.0,5.0,9.76,1,0.96,Computer Science,Complete,Male,1
321,111,5,5.0,5.0,9.45,1,0.93,Artificial Intelligence,Complete,Male,1
314,108,4,4.5,4.0,9.04,1,0.84,Information Technology,Complete,Female,1
314,106,3,3.0,5.0,8.9,0,0.74,Information Technology,Incomplete,Female,1
329,114,2,2.0,4.0,8.56,1,0.72,Software Engineering,Incomplete,Female,0
327,112,3,3.0,3.0,8.72,1,0.74,Software Engineering,Incomplete,Female,1
301,99,2,3.0,2.0,8.22,0,0.64,Computer Engineering,Incomplete,Male,0
296,95,2,3.0,2.0,7.54,1,0.44,Computer Engineering,Incomplete,Male,0
294,93,1,1.5,2.0,7.36,0,0.46,Computer Engineering,Incomplete,Male,0
312,105,3,2.0,3.0,8.02,1,0.5,Computer Engineering,Incomplete,Female,0
340,120,4,5.0,5.0,9.5,1,0.96,Computer Science,Complete,Female,1
320,110,5,5.0,4.5,9.22,1,0.92,Artificial Intelligence,Complete,Male,1
322,115,5,4.0,4.5,9.36,1,0.92,Artificial Intelligence,Complete,Male,1
340,115,5,4.5,4.5,9.45,1,0.94,Computer Science,Complete,Male,1
319,103,4,4.5,3.5,8.66,0,0.76,Software Engineering,Incomplete,Male,1
315,106,3,4.5,3.5,8.42,0,0.72,Information Technology,Incomplete,Female,0
317,107,2,3.5,3.0,8.28,0,0.66,Information Technology,Incomplete,Female,0
314,108,3,4.5,3.5,8.14,0,0.64,Computer Engineering,Incomplete,Female,0
316,109,4,4.5,3.5,8.76,1,0.74,Software Engineering,Complete,Male,1
318,106,2,4.0,4.0,7.92,1,0.64,Computer Engineering,Complete,Male,0
299,97,3,5.0,3.5,7.66,0,0.38,Computer Engineering,Incomplete,Female,0
298,98,2,4.0,3.0,8.03,0,0.34,Computer Engineering,Incomplete,Female,0
301,97,2,3.0,3.0,7.88,1,0.44,Computer Engineering,Incomplete,Female,0
303,99,3,2.0,2.5,7.66,0,0.36,Computer Engineering,Incomplete,Female,0
304,100,4,1.5,2.5,7.84,0,0.42,Computer Engineering,Incomplete,Male,0
306,100,2,3.0,3.0,8.0,0,0.48,Computer Engineering,Incomplete,Female,0
331,120,3,4.0,4.0,8.96,1,0.86,Artificial Intelligence,Complete,Male,1
332,119,4,5.0,4.5,9.24,1,0.9,Computer Science,Complete,Male,1
323,113,3,4.0,4.0,8.88,1,0.79,Artificial Intelligence,Complete,Male,1
322,107,3,3.5,3.5,8.46,1,0.71,Information Technology,Complete,Male,0
312,105,2,2.5,3.0,8.12,0,0.64,Computer Engineering,Incomplete,Female,0
314,106,2,4.0,3.5,8.25,0,0.62,Information Technology,Incomplete,Male,0
317,104,2,4.5,4.0,8.47,0,0.57,Information Technology,Incomplete,Female,0
326,112,3,3.5,3.0,9.05,1,0.74,Data Science,Incomplete,Female,1
316,110,3,4.0,4.5,8.78,1,0.69,Software Engineering,Complete,Male,0
329,111,4,4.5,4.5,9.18,1,0.87,Data Science,Complete,Male,1
338,117,4,3.5,4.5,9.46,1,0.91,Computer Science,Complete,Female,1
331,116,5,5.0,5.0,9.38,1,0.93,Computer Science,Complete,Male,1
304,103,5,5.0,4.0,8.64,0,0.68,Computer Engineering,Incomplete,Male,0
305,108,5,3.0,3.0,8.48,0,0.61,Computer Engineering,Incomplete,Male,0
321,109,4,4.0,4.0,8.68,1,0.69,Software Engineering,Complete,Male,0
301,107,3,3.5,3.5,8.34,1,0.62,Computer Engineering,Complete,Female,0
320,110,2,4.0,3.5,8.56,0,0.72,Software Engineering,Incomplete,Female,0
311,105,3,3.5,3.0,8.45,1,0.59,Information Technology,Incomplete,Female,0
310,106,4,4.5,4.5,9.04,1,0.66,Information Technology,Complete,Female,0
299,102,3,4.0,3.5,8.62,0,0.56,Computer Engineering,Incomplete,Female,0
290,104,4,2.0,2.5,7.46,0,0.45,Computer Engineering,Incomplete,Male,0
296,99,2,3.0,3.5,7.28,0,0.47,Computer Engineering,Incomplete,Female,0
327,104,5,3.0,3.5,8.84,1,0.71,Artificial Intelligence,Incomplete,Female,0
